year_month,revenue,orders
2016-10,59632.45,258
2016-12,19.62,1
2017-01,172135.24,723
2017-02,310516.96,1577
2017-03,484219.32,2459
2017-04,439599.27,2222
2017-05,676274.58,3427
2017-06,572684.39,3049
2017-07,703964.72,3787
2017-08,783271.25,4100
2017-09,977987.38,4052
2017-10,961083.36,4390
2017-11,1510771.37,7109
2017-12,981003.7,5310
2018-01,1318221.73,6817
2018-02,1238567.7,6350
2018-03,1393383.0,6800
2018-04,1442518.95,6668
2018-05,1463296.75,6678
2018-06,1271356.95,6042
2018-07,1283049.53,6067
2018-08,1201895.4,6298
